company_id,company_name,data_source,description,website,company_type,followers,rolodex_company_id,interakt_lead_id,bigin_id,phone,project_types,address_street,address_city,address_state,address_postal_code,address_country,headquarter_city,headquarter_state,headquarter_country,workspace_id,linkedin_description,logo_url,facebook_slug,linkedin_slug,x_slug,instagram_slug,country_code,phone_number,arr_estimate,number_of_employees,colourcoats_bigin_id,metalia_bigin_id,rolodex_id
25000f64-1954-4f08-b454-a37d8654960d,Harshita Dhankali,ColourcoatsBigin,,,,,89ef4e20-047d-478c-9728-696525350447,,1005878000000436452,,,,,,,,,,,,,,,,,,,,,,1005878000000436452,,
179c13fb-d9e4-4f6d-a312-ee572a0f1be0,Heena Ansari,ColourcoatsBigin,,,,,040df33a-82de-427b-b263-4b791719139f,,1005878000000436453,,,,,,,,,,,,,,,,,,,,,,1005878000000436453,,
8794fe9f-8af4-44c4-9b77-2d4a83c1edfe,Hemant Vora Designer,ColourcoatsBigin,,,,,1df08d8d-d6b1-4f9f-a1d2-9f5d55dd4e4b,,1005878000000436454,,,,,,,,,,,,,,,,,,,,,,1005878000000436454,,
a527fba4-ab46-4534-9ade-7259cfcc6117,Himanshi Designer,ColourcoatsBigin,,,,,1344527d-c570-4a01-966a-9ee4677c6507,,1005878000000436455,,,,,,,,,,,,,,,,,,,,,,1005878000000436455,,
2f1b306e-36df-4293-a829-8f929aa22238,Hiral Jobalia Studio,ColourcoatsBigin,,https://hiraljobalia.com/,,,ab209637-814a-4977-8203-82b90848df5d,,1005878000000436456,,,,,,,,,,,,,,,,,,,,,,1005878000000436456,,
7ed6f26c-cf06-4385-9a19-5f22717c3896,Hiren Patel Architects,ColourcoatsBigin,,,Architects,,c319dbfa-e0c4-433d-8a72-cc2b4e1aa1e7,,1005878000000436457,,,,,,,,,,,,,,,,,,,,,,1005878000000436457,,
15f163bc-a523-4b52-9eb1-24e1f2ec1838,House Of Mistry,ColourcoatsBigin,,,,,2728edd4-7963-41f5-8bcd-49777bfd3bd2,,1005878000000436458,,,,,,,,,,,,,,,,,,,,,,1005878000000436458,,
604522b9-f58b-4636-9e84-817cf6438c7b,IPIPL (Icon Projects Inspace Pvt. Ltd.),ColourcoatsBigin,,https://ipipl.in/,,,465e8b3e-b32b-4836-b160-4deb6d0144e2,,1005878000000436465,,,,,,,,,,,,,,,,,,,,,,1005878000000436465,,
8f2139b1-051e-471d-9bc6-5dee22e454fd,Idesignyou,ColourcoatsBigin,,,,,e51e258b-2ffb-4574-9822-60fbd599a5cc,,1005878000000436459,,,,,,,,,,,,,,,,,,,,,,1005878000000436459,,
d5685a64-67c8-468a-a8a5-6c35f9df30a5,Interface By Kunal Barve,ColourcoatsBigin,,https://interfacearchitects.in/,,,,,1005878000000436460,,,,,,,,,,,,,,,,,,,,,,1005878000000436460,,
